"","person","speech","syllables","wordsyl","pol","readability","wc"
"1","Donald Trump","I cannot say.",4,3,0,-4.23,1.33333333333333
"2","Donald Trump","I have to respect the person that, if it’s not me, the person that wins, if I do win, and I’m leading by quite a bit, that’s what I want to do.",36,32,0.811348084539376,9.7303125,1.125
"3","Donald Trump","I can totally make that pledge.",8,6,0,1.195,1.33333333333333
"4","Donald Trump","If I’m the nominee, I will pledge I will not run as an independent.",19,14,0,2.72785714285714,1.35714285714286
"5","Donald Trump","But — and I am discussing it with everybody, but I’m, you know, talking about a lot of leverage.",27,18,0.229415733870562,6.41,1.5
"6","Donald Trump","We want to win, and we will win.",8,8,0.707106781186547,-3.88875,1
"7","Donald Trump","But I want to win as the Republican.",11,8,0.353553390593274,-0.945,1.375
"8","Donald Trump","I want to run as the Republican nominee.",13,8,0,1.41,1.625
"9","Donald Trump","Well, I’ve given him plenty of money.",10,7,0.353553390593274,0.91,1.42857142857143
"10","Donald Trump","I will not make the pledge at this time.",9,9,0,-0.706666666666667,1
"11","Donald Trump","I think the big problem this country has is being politically correct.",20,12,0,7.335,1.66666666666667
"12","Donald Trump","I’ve been challenged by so many people, and I don’t frankly have time for total political correctness.",27,17,0,9.78882352941176,1.58823529411765
"13","Donald Trump","And to be honest with you, this country doesn’t have time either.",15,12,0.277350098112615,4.5875,1.25
"14","Donald Trump","This country is in big trouble.",8,6,-0.408248290463863,1.195,1.33333333333333
"15","Donald Trump","We don’t win anymore.",6,4,0.447213595499958,-0.59,1.5
"16","Donald Trump","We lose to China.",5,4,-0.5,-4.1225,1.25
"17","Donald Trump","We lose to Mexico both in trade and at the border.",14,11,-0.301511344577764,0.769090909090909,1.27272727272727
"18","Donald Trump","We lose to everybody.",7,4,-0.5,0.587499999999999,1.75
"19","Donald Trump","And frankly, what I say, and oftentimes it’s fun, it’s kidding.",16,11,0.277350098112615,4.19454545454546,1.45454545454545
"20","Donald Trump","We have a good time.",5,5,0.447213595499958,-4.8,1
"21","Donald Trump","What I say is what I say.",7,7,0,-5.81857142857143,1
"22","Donald Trump","And honestly Megyn, if you don’t like it, I’m sorry.",14,10,0,1.468,1.4
"23","Donald Trump","I’ve been very nice to you, although I could probably maybe not be, based on the way you have treated me.",27,21,0.383761289440099,7.23714285714286,1.28571428571429
"24","Donald Trump","But I wouldn’t do that.",5,5,0,-2.916,1
"25","Donald Trump","Only Rosie O’Donnell.",7,3,0,6.76,2.33333333333333
"26","Donald Trump","But you know what, we — we need strength, we need energy, we need quickness and we need brain in this country to turn it around.",30,25,0,9.5332,1.2
"27","Donald Trump","That, I can tell you right now.",7,7,0.377964473009227,-2.45428571428572,1
"28","Donald Trump","So, if it weren’t for me, you wouldn’t even be talking about illegal immigration, Chris.",24,15,-0.242535625036333,7.422,1.6
"29","Donald Trump","You wouldn’t even be talking about it.",10,7,0,2.25571428571428,1.42857142857143
"30","Donald Trump","This was not a subject that was on anybody’s mind until I brought it up at my announcement.",26,18,0,6.41,1.44444444444444
"31","Donald Trump","And I said, Mexico is sending.",9,6,0,-0.375,1.5
"32","Donald Trump","Except the reporters, because they’re a very dishonest lot, generally speaking, in the world of politics, they didn’t cover my statement the way I said it.",42,26,-0.340168025708305,13.8519230769231,1.61538461538462
"33","Donald Trump","The fact is, since then, many killings,murders, crime, drugs pouring across the border, are money going out and the drugs coming in.",32,22,-0.208514414057075,11.8354545454545,1.45454545454545
"34","Donald Trump","And I said we need to build a wall, and it has to be built quickly.",17,16,0,1.28875,1.0625
"35","Donald Trump","And I don’t mind having a big beautiful door in that wall so that people can come into this country legally.",29,21,0.21320071635561,8.35857142857143,1.38095238095238
"36","Donald Trump","But we need, Jeb, to build a wall, we need to keep illegals out.",16,14,0,1.38214285714286,1.14285714285714
"37","Donald Trump","Border Patrol, I was at the border last week.",12,9,0,1.38666666666667,1.33333333333333
"38","Donald Trump","Border Patrol, people that I deal with, that I talk to, they say this is what’s happening.",22,17,0,6.18705882352941,1.29411764705882
"39","Donald Trump","Because our leaders are stupid.",8,5,-0.447213595499958,5.562,1.6
"40","Donald Trump","Our politicians are stupid.",8,4,-0.5,7.6525,2
"41","Donald Trump","And the Mexican government is much smarter, much sharper, much more cunning.",19,12,0.577350269189626,8.905,1.58333333333333
"42","Donald Trump","And they send the bad ones over because they don’t want to pay for them.",17,15,-0.25,3.654,1.13333333333333
"43","Donald Trump","They don’t want to take care of them.",8,8,0,-0.945,1
"44","Donald Trump","Why should they when the stupid leaders of the United States will do it for them?",20,16,0,5.704375,1.25
"45","Donald Trump","And that’s what is happening whether you like it or not.",14,11,0.288675134594813,2.91,1.27272727272727
"46","Donald Trump","A complete disaster, yes.",7,4,-0.5,4.12,1.75
"47","Donald Trump","First of all, I’d like to just go back to one.",11,11,0.288675134594813,-1.8,1
"48","Donald Trump","In July of two thousand four, I came out strongly against the war with Iraq, because it was going to destabilize the Middle East.",35,24,0,10.78375,1.45833333333333
"49","Donald Trump","And I’m the only one on this stage that knew that and had the vision to say it.",20,18,0,3.27,1.11111111111111
"50","Donald Trump","And that’s exactly what happened.",8,5,0,6.504,1.6
"51","Donald Trump","And the Middle East became totally destabilized.",14,7,0,9.65714285714285,2
"52","Donald Trump","So I just want to say.",6,6,0,-5.87,1
"53","Donald Trump","As far as single payer, it works in Canada.",13,9,0.333333333333333,0.34,1.44444444444444
"54","Donald Trump","It works incredibly well in Scotland.",10,6,1.22474487139159,5.905,1.66666666666667
"55","Donald Trump","It could have worked in a different age, which is the age you’re talking about here.",20,16,0.242535625036333,5.99875,1.25
"56","Donald Trump","What I’d like to see is a private system without the artificial lines around every state.",24,16,0.242535625036333,7.765,1.5
"57","Donald Trump","I have a big company with thousands and thousands of employees.",17,11,0,6.33545454545455,1.54545454545455
"58","Donald Trump","And if I’m negotiating in New York or in New Jersey or in California, I have like one bidder.",27,19,0.223606797749979,5.91842105263158,1.42105263157895
"59","Donald Trump","Nobody can bid.",5,3,0,-1.09,1.66666666666667
"60","Donald Trump","You know why?",3,3,0,-4.23,1
"61","Donald Trump","Because the insurance companies are making a fortune because they have control of the politicians, of course, with the exception of the politicians on this stage.",43,26,0.196116135138184,15.8446153846154,1.65384615384615
"62","Donald Trump","But they have total control of the politicians.",13,8,0,5.53125,1.625
"63","Donald Trump","They’re making a fortune.",6,4,0.447213595499958,4.12,1.5
"64","Donald Trump","Get rid of the artificial lines and you will have yourself great plans.",17,13,0.277350098112615,6.08384615384615,1.30769230769231
"65","Donald Trump","And then we have to take care of the people that can’t take care of themselves.",18,16,0,4.82125,1.125
