Donald,Jeb,Ben,Marco,Ted,Rand,John,Chris,Bernie,Hillary,Martin
I cannot say.,"Absolutely, I do, and I'm gonna run hard, run with heart, and run to win.","Well, I could take issue with - with all of those things, but we don't have time.","Well, thank you for the question, Chris, and it's great to be here tonight.","Chris, I believe the American people are looking for someone to speak the truth.",This is what's wrong!,"Well, first of all Megyn, you should know that - that President Reagan expanded Medicaid three or four times.","If you think it's bad now, you should've seen it when I got there.","Anderson, thank you very much.","Well, thank you, and thanks to everyone for hosting this first of the Democratic debates.","Chris, how are you?"
"I have to respect the person that, if it's not me, the person that wins, if I do win, and I'm leading by quite a bit, that's what I want to do.",I'm gonna have to earn this.,"But I will say, we have a debate here tonight, and we will have an opportunity to explore those areas, and I'm looking very much forward to demonstrating that, in fact, the thing that is probably most important is having a brain, and to be able to figure things out and learn things very rapidly.",Let me begin by saying this: I'm not new to the political process; I was making a contribution as the speaker of the third largest and most diverse state in the country well before I even got into the Senate.,"If you're looking for someone to go to Washington, to go along to get along, to get - to agree with the career politicians in both parties who get in bed with the lobbyists and special interests, then I ain't your guy.","I mean, this is what's wrong.","Secondly, I had an opportunity to bring resources back to Ohio to do what?","The fact is - the fact is, in the eight years before I became governor, taxes and fees were raised at the state level 115 times.",I think most Americans understand that our country today faces a series of unprecedented crises.,I'm Hillary Clinton.,"Good to see you, too, man."
I can totally make that pledge.,Maybe the barrier - the bar's even higher for me.,"So, you know, experience comes from a large number of different arenas, and America became a great nation early on not because it was flooded with politicians, but because it was flooded with people who understood the value of personal responsibility, hard work, creativity, innovation, and that's what will get us on the right track now, as well.",I would add to that that this election cannot be a resume competition.,There is a reason that we have $18 trillion in debt.,"He buys and sells politicians of all stripes, he's already|",To treat the mentally ill.,"In the eight years before I became governor, spending was increased 56 percent.",The middle class of this country for the last 40 years has been disappearing.,"I have been proud and privileged to serve as first lady, as a senator from New York, and as secretary of state.",I think.
"If I'm the nominee, I will pledge I will not run as an independent.",That's fine.,"Well, thank you, Megyn, I wasn't sure I was going to get to talk again.","It's important to be qualified, but if this election is a resume competition, then Hillary Clinton's gonna be the next president, because she's been in office and in government longer than anybody else running here tonight.","Because as conservatives, as Republicans, we keep winning elections.","Hey, look, look!",Ten thousand of them sit in our prisons.,"And in the eight years before I become governor, taxes and fees were raised at the state level 115 times.","Millions of Americans are working longer hours for lower wages, and yet almost all of the new income and wealth being created is going to the top one percent.",I'm the granddaughter of a factory worker and the grandmother of a wonderful one-year-old child.,Thanks a lot.
"But - and I am discussing it with everybody, but I'm, you know, talking about a lot of leverage.",I've got a record in Florida.,Alright.,"Here's what this election better be about: This election better be about the future, not the past.","We got a Republican House, we've got a Republican Senate, and we don't have leaders who honor their commitments.","He's already hedging his bet on the Clintons, OK?","It costs $22,500 a year to keep them in prison.","In the eight years before I became Governor, spending was increased 56 percent, and in the eight years before I became governor, there was zero net private sector job growth in New Jersey.","As a result of this disastrous Citizens United Supreme Court decision, our campaign finance system is corrupt and is undermining American democracy.","And every day, I think about what we need to do to make sure that opportunity is available not just for her, but for all of our children.",Thank you.
"We want to win, and we will win.","I'm proud of my dad, and I'm certainly proud of my brother.","You know, what we do in order to get the information that we need is our business, and I wouldn't necessarily be broadcasting what we're going to do.","It better be about the issues our nation and the world is facing today, not simply the issues we once faced.",I will always tell the truth and do what I said I would do.,"So if he doesn't run as a Republican, maybe he supports Clinton, or maybe he runs as an independent|",I'd rather get them their medication so they could lead a decent life.,Zero.,"Millionaires and billionaires are pouring unbelievable sums of money into the political process in order to fund super PACs and to elect candidates who represent their interests, not the interests of working people.","I have spent a very long time - my entire adult life - looking for ways to even the odds to help people have a chance to get ahead, and, in particular, to find the ways for each child to live up to his or her God-given potential.",I'm excited.
But I want to win as the Republican.,"In Florida, they called me Jeb, because I earned it.",We've gotten into this - this mindset of fighting politically correct wars.,This country is facing an economy that has been radically transformed.,"Chris, absolutely yes.",but I'd say that he's already hedging his bets because he's used to buying politicians.,"Secondly, we are rehabbing the drug-addicted.",For eight years.,"Today, the scientific community is virtually unanimous: climate change is real, it is caused by human activity, and we have a moral responsibility to transform our energy system away from fossil fuel to energy efficiency and sustainable energy and leave this planet a habitable planet for our children and our grandchildren.","I've traveled across our country over the last months listening and learning, and I've put forward specific plans about how we're going to create more good-paying jobs: by investing in infrastructure and clean energy, by making it possible once again to invest in science and research, and taking the opportunity posed by climate change to grow our economy.",It's Iowa Caucus time.
I want to run as the Republican nominee.,"I cut taxes every year, totaling $19 billion.",There is no such thing as a politically correct war.,"You know, the largest retailer in the country and the world today, Amazon, doesn't even own a single store?",I have authored Kate's law in the United States Senate and filed that legislation.,"First of all, only ISIS is responsible for the terrorism.",Eighty percent of the people in our prisons have addictions or problems.,"So, what did we do?","Today in America, we have more people in jail than any other country on Earth.",At the center of my campaign is how we're going to raise wages.,"And Chris, I've seen this before."
"Well, I've given him plenty of money.",We were - we had - we balanced every budget.,"The left, of course, will say Carson doesn't believe in the Geneva Convention, Carson doesn't believe in fighting stupid wars.",And these changes have been disruptive.,"I tried to get the Senate to vote to pass Kate's law on the floor of the Senate just one week ago, and the leader of our own party blocked a vote on Kate's law.",Only ISIS is responsible for the depravity.,"We now treat them in the prisons, release them in the community and the recidivism rate is 10 percent and everybody across this country knows that the tsunami of drugs is - is threatening their very families.","We came in, we balanced an $11 billion deficit on a $29 billion budget by cutting over 800 programs in the state budget.",African-American youth unemployment is 51 percent.,"Yes, of course, raise the minimum wage, but we have to do so much more, including finding ways so that companies share profits with the workers who helped to make them.","Once Iowans get into that decision-making pocket, none of the pollsters back East can tell you how it's going to turn out."
I will not make the pledge at this time.,We went from $1 billion of reserves to $9 billion of reserves.,And - and what we have to remember is we want to utilize the tremendous intellect that we have in the military to win wars.,They have changed people's lives.,"You know, there was reference made to our leaders being stupid.","But, we do have to examine, how are we going to defeat ISIS?",So we're treating them and getting them on their feet.,We brought the budget into balance with no tax increases.,Hispanic youth unemployment is 36 percent.,And then we have to figure out how we're going to make the tax system a fairer one.,I wish you could be out there with me.
I think the big problem this country has is being politically correct.,We were one of two states that went to AAA bond rating.,"And I've talked to a lot of the generals, a lot of our advanced people.","The jobs that once sustained our middle class, they either don't pay enough or they are gone, and we need someone that understands that as our nominee.",It's not a question of stupidity.,I've got a proposal.,"And, finally, the working poor, instead of them having come into the emergency rooms where it costs more, where they're sicker and we end up paying, we brought a program in here to make sure that people could get on their feet.","In fact, we vetoed five income tax increases during my time as governor.","It seems to me that instead of building more jails and providing more incarceration, maybe - just maybe - we should be putting money into education and jobs for our kids.","Right now, the wealthy pay too little and the middle class pays too much.",I have been campaigning the Iowa Caucus way.
"I've been challenged by so many people, and I don't frankly have time for total political correctness.",They keep - they called me Veto Corleone.,"And believe me, if we gave them the mission, which is what the commander-in-chief does, they would be able to carry it out.","If I'm our nominee, how is Hillary Clinton gonna lecture me about living paycheck to paycheck?",It's that they don't want to enforce the immigration laws.,I'm the leading voice in America for not arming the allies of ISIS.,And do you know what?,We cut business taxes $2.,What this campaign is about is whether we can mobilize our people to take back our government from a handful of billionaires and create the vibrant democracy we know we can and should have.,"So I have specific recommendations about how we're going to close those loopholes, make it clear that the wealthy will have to pay their fair share, and have a series of tax cuts for middle-class families.","I've been to over 120 events and getting up on the chair, doing tow halls like this."
